enormously,tremendously,tremendously,Label.Guess
provisions,stipulations,stipulations,Label.Guess
haphazardly,randomly,densely,Label.Guess
prominent,conspicuous,battered,Label.Guess
zenith,pinnacle,completion,Label.Guess
flawed,imperfect,imperfect,Label.Guess
urgently,desperately,typically,Label.Guess
consumed,eaten,supplied,Label.Guess
advent,coming,financing,Label.Guess
concisely,succinctly,succinctly,Label.Guess
salutes,greetings,greetings,Label.Guess
solitary,alone,alert,Label.Guess
hasten,accelerate,accelerate,Label.Guess
perseverance,endurance,generosity,Label.Guess
fanciful,imaginative,apparent,Label.Guess
showed,demonstrated,published,Label.Guess
constantly,continually,continually,Label.Guess
issues,subjects,training,Label.Guess
furnish,supply,protect,Label.Guess
costly,expensive,expensive,Label.Guess
recognized,acknowledged,depicted,Label.Guess
spot,location,climate,Label.Guess
make,earn,trade,Label.Guess
often,frequently,chemically,Label.Guess
easygoing,relaxed,farming,Label.Guess
debate,argument,election,Label.Guess
narrow,thin,poisonous,Label.Guess
arranged,planned,explained,Label.Guess
infinite,limitless,unusual,Label.Guess
showy,striking,prickly,Label.Guess
levied,imposed,requested,Label.Guess
deftly,skillfully,humorously,Label.Guess
distribute,circulate,commercialize,Label.Guess
discrepancies,differences,weights,Label.Guess
prolific,productive,promising,Label.Guess
unmatched,unequaled,unequaled,Label.Guess
peculiarly,uniquely,patriotically,Label.Guess
hue,color,contrast,Label.Guess
hind,rear,muscular,Label.Guess
highlight,accentuate,accentuate,Label.Guess
hastily,hurriedly,habitually,Label.Guess
temperate,mild,windy,Label.Guess
grin,smile,exercise,Label.Guess
verbally,orally,overtly,Label.Guess
physician,doctor,pharmacist,Label.Guess
essentially,basically,ordinarily,Label.Guess
keen,sharp,sharp,Label.Guess
situated,positioned,rotating,Label.Guess
principal,major,exceptional,Label.Guess
slowly,gradually,continuously,Label.Guess
built,constructed,organized,Label.Guess
tasks,jobs,jobs,Label.Guess
unlikely,improbable,unpopular,Label.Guess
halfheartedly,apathetically,unconventionally,Label.Guess
annals,chronicles,trails,Label.Guess
wildly,furiously,distinctively,Label.Guess
hailed,acclaimed,judged,Label.Guess
command,mastery,mastery,Label.Guess
concocted,devised,supervised,Label.Guess
prospective,potential,potential,Label.Guess
generally,broadly,descriptively,Label.Guess
sustained,prolonged,prolonged,Label.Guess
perilous,dangerous,offensive,Label.Guess
tranquillity,peacefulness,harshness,Label.Guess
dissipate,disperse,isolate,Label.Guess
primarily,chiefly,cautiously,Label.Guess
colloquial,conversational,recorded,Label.Guess
resolved,settled,settled,Label.Guess
feasible,possible,possible,Label.Guess
expeditiously,rapidly,repeatedly,Label.Guess
percentage,proportion,sample,Label.Guess
terminated,ended,ended,Label.Guess
uniform,alike,hard,Label.Guess
figure,solve,express,Label.Guess
sufficient,enough,valuable,Label.Guess
fashion,manner,fathom,Label.Guess
marketed,sold,diluted,Label.Guess
bigger,larger,better,Label.Guess
roots,origins,rituals,Label.Guess
normally,ordinarily,permanently,Label.Guess
